category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievancesWithGoodRating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airport,Lucknow,Trolly / Ameniites / Buggy / Wifi,8,NA,NA,8,8,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,8,6,2,1,1
Airport,Kochi,Baggage / Lost & Found ,4,NA,NA,4,4,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,4,3,1,NA,1
Airport,Kochi,Other,15,NA,NA,15,15,NA,1,14,1,NA,NA,NA,NA,1,1,NA,1,15,14,1,NA,1
Airport,Mumbai,Baggage / Lost & Found ,67,NA,NA,67,67,NA,NA,63,4,2,NA,NA,2,NA,NA,NA,2,67,62,5,3,2
Airport,Mumbai,Baggage / Lost &amp; Found ,29,NA,NA,20,20,NA,NA,28,1,NA,NA,NA,NA,1,NA,NA,1,29,28,1,NA,1
Airport,Mumbai,Cleanliness / Hygiene,15,NA,NA,13,13,NA,NA,13,2,1,NA,NA,1,NA,NA,NA,1,15,13,2,1,1
Airport,Mumbai,Other,202,1,NA,201,201,NA,1,185,16,12,1,1,NA,2,4,NA,7,202,182,20,15,5
Airport,Mumbai,Retail Shops / Food & Beverage,30,NA,NA,30,30,NA,NA,23,7,5,NA,1,NA,1,NA,NA,NA,30,22,8,6,2
Airport,Mumbai,Trolly / Ameniites / Buggy / Wifi,31,NA,NA,30,30,NA,NA,27,4,2,NA,NA,NA,2,1,NA,1,31,25,6,2,4
Airport,Visakhapatnam,Baggage / Lost & Found ,8,NA,NA,8,8,NA,NA,6,2,1,NA,NA,1,NA,NA,NA,1,8,6,2,1,1
Airport,Visakhapatnam,Cleanliness / Hygiene,24,NA,NA,24,24,NA,NA,22,2,2,NA,NA,NA,NA,NA,NA,NA,24,21,3,2,1
Airport,Visakhapatnam,Retail Shops / Food & Beverage,13,NA,NA,13,13,NA,NA,10,3,1,NA,NA,NA,2,NA,NA,1,13,8,5,4,1
Airport,Visakhapatnam,Signages / Flight Display,4,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,1,NA,1
Airport,Visakhapatnam,Trolly / Ameniites / Buggy / Wifi,5,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,1
Airport,Leh,Cleanliness / Hygiene,3,NA,NA,3,3,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,3,2,1,NA,1
Airport,Patna,Air Conditioning / Maintenance,4,NA,NA,4,4,NA,NA,2,2,NA,1,NA,NA,1,NA,NA,NA,4,2,2,1,1
Airport,Patna,Baggage / Lost & Found ,18,NA,NA,18,18,NA,NA,16,2,NA,NA,NA,1,1,NA,NA,NA,18,12,6,1,5
Airport,Patna,Cleanliness / Hygiene,22,NA,NA,22,22,NA,NA,18,4,NA,NA,1,NA,3,NA,NA,NA,22,12,10,1,9
Airport,Patna,Other,68,NA,NA,68,68,NA,NA,64,4,2,NA,NA,1,1,NA,NA,NA,68,36,32,2,30
Airport,Patna,Seating / Waiting Area,30,NA,NA,30,30,NA,NA,28,2,NA,NA,1,NA,1,NA,NA,NA,30,20,10,1,9
Airport,Patna,Signages / Flight Display,4,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,4,NA,4
Airport,Jodhpur,Signages / Flight Display,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Gorakhpur,Other,3,NA,NA,3,3,NA,NA,2,1,NA,NA,NA,NA,1,NA,NA,NA,3,2,1,NA,1
Airport,Ahmedabad,Cleanliness / Hygiene,46,NA,NA,45,45,NA,NA,44,2,NA,NA,NA,NA,2,NA,NA,NA,46,44,2,NA,2
Airport,Ahmedabad,Other,62,NA,NA,62,62,NA,NA,60,2,1,NA,1,NA,NA,NA,NA,NA,62,59,3,2,1
Airport,Ahmedabad,Seating / Waiting Area,51,NA,NA,51,51,NA,NA,51,NA,NA,NA,NA,NA,NA,1,NA,1,51,50,1,NA,1
Airport,Ahmedabad,Taxi / Parking,49,NA,NA,48,48,NA,1,42,7,3,2,1,NA,1,NA,NA,NA,49,37,12,8,4
Airport,Bengaluru,Baggage / Lost & Found ,35,NA,NA,32,32,NA,1,34,1,NA,NA,NA,NA,1,1,NA,1,35,33,2,1,1
Airport,Bengaluru,Baggage / Lost &amp; Found ,26,NA,NA,3,3,NA,NA,25,1,NA,NA,NA,NA,1,NA,NA,NA,26,25,1,NA,1
Airport,Bengaluru,Cleanliness / Hygiene,18,NA,NA,18,18,NA,NA,15,3,1,NA,NA,1,1,NA,NA,2,18,14,4,2,2
Airport,Bengaluru,Other,94,NA,NA,94,94,NA,NA,90,4,1,1,1,NA,1,5,NA,6,94,88,6,4,2
Airport,Bengaluru,Retail Shops / Food & Beverage,11,NA,NA,11,11,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,1,11,9,2,1,1
Airport,Bengaluru,Staff / Crew behavoiur,24,NA,NA,24,24,NA,2,21,3,1,NA,NA,1,1,NA,NA,2,24,21,3,NA,3
Airport,Bengaluru,Trolly / Ameniites / Buggy / Wifi,8,NA,NA,8,8,NA,NA,6,2,1,NA,NA,NA,1,NA,NA,NA,8,6,2,1,1
Airport,Vijayawada,Cleanliness / Hygiene,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,1
Airport,Vijayawada,Other,7,NA,NA,7,7,NA,NA,6,1,NA,NA,1,NA,NA,NA,NA,NA,7,5,2,NA,2
Airport,Vijayawada,Retail Shops / Food & Beverage,3,NA,NA,3,3,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,3,1,2,1,1
Airport,Ranchi,Other,14,NA,NA,14,14,NA,NA,12,2,1,NA,NA,1,NA,NA,NA,NA,14,12,2,1,1
Airport,Indore,Baggage / Lost &amp; Found ,5,NA,NA,3,3,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,5,4,1,NA,1
Airport,Indore,Other,12,NA,NA,12,12,NA,NA,10,2,1,1,NA,NA,NA,NA,NA,NA,12,9,3,1,2
Airport,Indore,Taxi / Parking,15,NA,NA,15,15,NA,NA,13,2,1,NA,1,NA,NA,NA,NA,NA,15,12,3,1,2
Airport,Vadodara,Seating / Waiting Area,9,NA,NA,9,9,NA,NA,6,3,3,NA,NA,NA,NA,NA,NA,NA,9,5,4,2,2
Airport,Porbandar,Other,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Raipur,Other,12,NA,NA,12,12,NA,NA,9,3,NA,1,1,NA,1,NA,NA,NA,12,9,3,2,1
Airport,Raipur,Trolly / Ameniites / Buggy / Wifi,4,NA,NA,4,4,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,4,2,2,NA,2
Airport,Chandigarh,Other,20,NA,NA,20,20,NA,NA,18,2,2,NA,NA,NA,NA,1,NA,2,20,15,5,4,1
Airport,Chandigarh,Seating / Waiting Area,10,NA,NA,10,10,NA,NA,9,1,NA,NA,NA,1,NA,NA,NA,2,10,5,5,3,2
Airport,Chandigarh,Trolly / Ameniites / Buggy / Wifi,7,NA,NA,7,7,NA,NA,6,1,NA,NA,NA,NA,1,NA,NA,NA,7,5,2,1,1
Airport,Pune,Baggage / Lost &amp; Found ,24,NA,NA,15,15,NA,NA,21,3,1,NA,NA,1,1,NA,NA,1,24,20,4,1,3
Airport,Pune,Cleanliness / Hygiene,38,NA,NA,35,35,NA,NA,35,3,1,NA,1,NA,1,1,NA,1,38,34,4,1,3
Airport,Pune,Other,81,NA,NA,81,81,NA,NA,72,9,4,NA,NA,1,4,1,NA,1,81,70,11,6,5
Airport,Pune,Retail Shops / Food &amp; Beverage,26,NA,NA,26,26,NA,NA,23,3,2,1,NA,NA,NA,1,NA,NA,26,23,3,2,1
Airport,Pune,Signages / Flight Display,10,NA,NA,10,10,NA,NA,8,2,1,NA,NA,NA,1,NA,NA,NA,10,8,2,1,1
Airport,Pune,Taxi / Parking,35,NA,NA,35,35,NA,NA,27,8,3,1,3,1,NA,NA,NA,NA,35,27,8,7,1
Airport,Udaipur,Taxi / Parking,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,1,NA,1
Airport,Guwahati,Other,29,NA,NA,29,29,NA,NA,26,3,1,1,NA,1,NA,NA,NA,NA,29,25,4,2,2
Airport,Guwahati,Retail Shops / Food &amp; Beverage,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Guwahati,Taxi / Parking,8,NA,NA,8,8,NA,NA,5,3,NA,NA,1,NA,2,NA,NA,1,8,5,3,1,2
Airport,Chennai,Baggage / Lost & Found ,78,NA,NA,78,78,NA,NA,71,7,4,1,NA,1,1,1,NA,1,78,68,10,8,2
Airport,Chennai,Cleanliness / Hygiene,87,NA,NA,79,79,NA,NA,85,2,NA,NA,NA,1,1,NA,NA,NA,87,84,3,NA,3
Airport,Chennai,Other,200,NA,NA,200,200,NA,NA,192,8,NA,5,NA,1,2,1,NA,1,200,190,10,6,4
Airport,Chennai,Retail Shops / Food & Beverage,100,NA,NA,100,100,NA,NA,96,4,2,1,NA,NA,1,1,NA,1,100,95,5,3,2
Airport,Chennai,Seating / Waiting Area,118,NA,NA,118,118,NA,NA,116,2,1,1,NA,NA,NA,NA,NA,2,118,116,2,1,1
Airport,Chennai,Staff / Crew behavoiur,28,NA,NA,28,28,NA,NA,25,3,2,1,NA,NA,NA,NA,NA,NA,28,24,4,3,1
Airport,Chennai,Trolly / Ameniites / Buggy / Wifi,102,NA,NA,102,102,NA,NA,100,2,1,NA,NA,1,NA,1,NA,1,102,99,3,2,1
Airport,Hubli,Taxi / Parking,6,NA,NA,6,6,NA,NA,5,1,NA,NA,1,NA,NA,NA,NA,NA,6,5,1,NA,1
Airport,Surat,Air Conditioning / Maintenance,14,NA,NA,14,14,NA,NA,13,1,1,NA,NA,NA,NA,NA,NA,NA,14,11,3,1,2
Airport,Surat,Cleanliness / Hygiene,10,NA,NA,8,8,NA,NA,8,2,1,NA,NA,NA,1,NA,NA,NA,10,8,2,1,1
Airport,Surat,Other,41,NA,NA,41,41,NA,NA,36,5,5,NA,NA,NA,NA,NA,NA,NA,41,31,10,5,5
Airport,Surat,Seating / Waiting Area,14,NA,NA,14,14,NA,NA,10,4,3,NA,NA,1,NA,NA,NA,NA,14,10,4,3,1
Airport,Surat,Taxi / Parking,9,NA,NA,9,9,NA,NA,6,3,2,NA,NA,NA,1,NA,NA,NA,9,5,4,3,1
Airport,Jammu,Trolly / Ameniites / Buggy / Wifi,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1
Airport,Bhopal,Baggage / Lost & Found ,12,NA,NA,12,12,NA,NA,11,1,NA,NA,NA,NA,1,NA,NA,NA,12,8,4,NA,4
Airport,Bhopal,Baggage / Lost &amp; Found ,3,NA,NA,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,1
Airport,Bhopal,Other,14,1,NA,13,13,NA,NA,12,1,NA,1,NA,NA,NA,2,NA,2,14,12,2,1,1
Airport,Dibrugarh,Other,6,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,NA,1
Airport,Agartala,Cleanliness / Hygiene,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,1,NA,1
Airport,Agartala,Retail Shops / Food & Beverage,2,NA,NA,2,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,1
Airport,Tiruchirappalli,Retail Shops / Food & Beverage,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Goa,Air Conditioning / Maintenance,11,NA,NA,11,11,NA,NA,10,1,NA,NA,NA,NA,1,NA,NA,NA,11,9,2,1,1
Airport,Goa,Cleanliness / Hygiene,36,NA,NA,34,34,NA,NA,33,3,2,1,NA,NA,NA,NA,NA,NA,36,31,5,4,1
Airport,Goa,Retail Shops / Food & Beverage,54,NA,NA,54,54,NA,NA,45,9,7,NA,NA,1,1,NA,NA,NA,54,41,13,10,3
Airport,Goa,Seating / Waiting Area,20,NA,NA,20,20,NA,NA,18,2,1,NA,NA,NA,1,NA,NA,NA,20,16,4,2,2
Airport,Kolkata,Baggage / Lost &amp; Found ,19,NA,NA,2,2,NA,NA,17,2,NA,NA,NA,NA,2,NA,NA,NA,19,17,2,NA,2
Airport,Kolkata,Cleanliness / Hygiene,70,NA,NA,53,53,NA,NA,66,4,2,NA,1,1,NA,NA,NA,NA,70,65,5,3,2
Airport,Kolkata,Other,88,NA,NA,88,88,NA,NA,83,5,3,NA,NA,2,NA,2,NA,2,88,83,5,3,2
Airport,Kolkata,Seating / Waiting Area,31,NA,NA,31,31,NA,NA,30,1,NA,NA,NA,1,NA,NA,NA,1,31,29,2,1,1
Airport,Kolkata,Trolly / Ameniites / Buggy / Wifi,34,NA,NA,33,33,NA,NA,31,3,2,NA,NA,NA,1,NA,NA,NA,34,28,6,5,1
Airport,Srinagar,Cleanliness / Hygiene,5,NA,NA,2,2,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,5,4,1,NA,1
Airport,Mangalore,Retail Shops / Food & Beverage,4,NA,NA,4,4,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2,1,1
Airport,Mangalore,Trolly / Ameniites / Buggy / Wifi,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,1,NA,1
Security,NA,NA,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,2,3,2,1,NA,1
Security,Mumbai,Security Check,76,1,NA,74,74,NA,NA,67,8,5,NA,NA,1,2,1,NA,NA,76,68,8,6,2
Security,Coimbatore,Security Check,3,NA,NA,3,3,NA,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,3,2,1,NA,1
Security,Chennai,Security Check,101,NA,NA,101,101,NA,NA,95,6,3,NA,2,NA,1,NA,NA,2,101,94,7,5,2
Security,Delhi,Security Check,141,NA,NA,141,141,NA,NA,133,8,4,2,1,NA,1,1,NA,2,141,132,9,7,2
Security,Delhi,Terminal Entry,29,1,NA,28,28,NA,NA,24,4,3,1,NA,NA,NA,NA,NA,2,29,21,8,6,2
Security,Patna,Security Check,18,NA,NA,18,18,NA,NA,16,2,2,NA,NA,NA,NA,NA,NA,NA,18,16,2,1,1
Security,Ahmedabad,Security Check,40,NA,NA,40,40,NA,NA,38,2,2,NA,NA,NA,NA,NA,NA,1,40,36,4,3,1
Security,Ahmedabad,Terminal Entry,8,NA,NA,8,8,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,8,7,1,NA,1
Security,Jodhpur,Security Check,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1
Security,Goa,Security Check,22,NA,NA,21,21,NA,NA,19,3,2,NA,1,NA,NA,NA,NA,1,22,18,4,2,2
Security,Hyderabad,Security Check,42,NA,NA,41,41,NA,NA,40,2,2,NA,NA,NA,NA,NA,NA,NA,42,38,4,2,2
Security,Nagpur,Other,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1
Security,Bengaluru,Other,11,NA,NA,11,11,NA,NA,10,1,NA,NA,NA,NA,1,1,NA,2,11,10,1,NA,1
Security,Kolkata,Security Check,73,1,NA,72,72,NA,NA,69,3,3,NA,NA,NA,NA,NA,NA,NA,73,70,3,2,1
Airline,NA,Flight Delays,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Aeroflot,Baggage,21,NA,NA,20,20,NA,NA,20,1,1,NA,NA,NA,NA,NA,NA,NA,21,20,1,1,NA
Airline,Aeroflot,Check-in & Boarding,7,NA,NA,7,7,NA,NA,5,2,2,NA,NA,NA,NA,NA,NA,NA,7,5,2,2,NA
Airline,Aeroflot,Flight Delays,12,NA,NA,12,12,NA,NA,10,2,1,NA,1,NA,NA,NA,NA,NA,12,10,2,2,NA
Airline,Aeroflot,Other,7,NA,NA,7,7,NA,NA,6,1,NA,NA,1,NA,NA,NA,NA,NA,7,6,1,1,NA
Airline,Aeroflot,Staff / Crew Behavior,3,NA,NA,3,3,NA,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,3,2,1,1,NA
Airline,Emirates Airline,Check-in & Boarding,13,NA,NA,12,12,NA,NA,10,3,3,NA,NA,NA,NA,NA,NA,NA,13,10,3,3,NA
Airline,Emirates Airline,Other,19,NA,NA,19,19,NA,NA,18,1,NA,NA,1,NA,NA,NA,NA,NA,19,18,1,1,NA
Airline,Emirates Airline,"Ticketing, Fares & Refunds",118,NA,NA,118,118,NA,NA,101,17,13,2,2,NA,NA,NA,NA,NA,118,101,17,17,NA
Airline,Kuwait Airways,Check-in & Boarding,9,NA,NA,8,8,NA,NA,8,1,1,NA,NA,NA,NA,NA,NA,NA,9,8,1,1,NA
Airline,Kuwait Airways,"Ticketing, Fares & Refunds",23,NA,NA,23,23,NA,NA,22,1,1,NA,NA,NA,NA,NA,NA,NA,23,22,1,1,NA
Airline,United Airlines,Flight Delays,4,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,4,2,2,2,NA
Airline,United Airlines,Other,10,NA,1,9,9,NA,NA,8,1,1,NA,NA,NA,NA,NA,NA,1,10,9,1,1,NA
Airline,United Airlines,"Ticketing, Fares & Refunds",26,NA,NA,26,26,NA,NA,23,3,3,NA,NA,NA,NA,NA,NA,3,26,23,3,3,NA
Airline,Qatar Airways,Baggage,44,2,1,38,38,NA,NA,37,4,2,2,NA,NA,NA,NA,NA,NA,44,40,4,4,NA
Airline,Qatar Airways,Check-in & Boarding,23,NA,NA,22,22,NA,NA,19,4,4,NA,NA,NA,NA,NA,NA,1,23,19,4,4,NA
Airline,Qatar Airways,Flight Delays,18,NA,NA,10,10,NA,NA,16,2,1,NA,1,NA,NA,NA,NA,NA,18,16,2,2,NA
Airline,Qatar Airways,"Ticketing, Fares & Refunds",61,NA,NA,56,56,NA,NA,59,2,NA,1,NA,1,NA,NA,NA,2,61,59,2,2,NA
Airline,Air Canada,Check-in & Boarding,2,NA,NA,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Airline,Air Canada,Other,5,NA,NA,5,5,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,1,NA
Airline,Air Canada,"Ticketing, Fares & Refunds",52,NA,NA,51,51,NA,NA,43,9,7,1,1,NA,NA,NA,NA,7,52,43,9,9,NA
Airline,Air Canada,"Ticketing, Fares &amp; Refunds",18,NA,NA,12,12,NA,NA,16,2,1,NA,1,NA,NA,NA,NA,7,18,16,2,2,NA
Airline,Virgin Atlantic,"Ticketing, Fares &amp; Refunds",9,NA,NA,6,6,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,1,1,NA
Airline,China Southern,Baggage,3,NA,NA,3,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,1,1,NA
Airline,China Southern,"Ticketing, Fares & Refunds",3,NA,NA,3,3,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,1,3,2,1,1,NA
Airline,Air Asia Berhad (Intl Tickets),Baggage,11,NA,NA,11,11,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,11,9,2,2,NA
Airline,Air Asia Berhad (Intl Tickets),Flight Delays,13,NA,NA,10,10,NA,NA,11,2,2,NA,NA,NA,NA,NA,NA,NA,13,11,2,2,NA
Airline,Air Asia Berhad (Intl Tickets),Other,14,NA,NA,14,14,NA,NA,13,1,1,NA,NA,NA,NA,NA,NA,NA,14,13,1,1,NA
Airline,Ethiopian Airlines,Baggage,19,NA,NA,17,17,NA,NA,19,NA,NA,NA,NA,NA,NA,1,NA,2,19,18,1,1,NA
Airline,Ethiopian Airlines,Check-in & Boarding,7,NA,NA,7,7,NA,NA,6,1,NA,1,NA,NA,NA,NA,NA,3,7,4,3,3,NA
Airline,Ethiopian Airlines,Check-in &amp; Boarding,4,NA,NA,1,1,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Airline,Ethiopian Airlines,Flight Delays,4,NA,NA,1,1,NA,NA,2,2,1,1,NA,NA,NA,NA,NA,NA,4,2,2,2,NA
Airline,Ethiopian Airlines,Other,5,NA,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,1,NA
Airline,Ethiopian Airlines,"Ticketing, Fares & Refunds",9,NA,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,9,8,1,1,NA
Airline,Tiger Airways,Baggage,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,1,1,NA
Airline,Tiger Airways,Flight Delays,4,NA,NA,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,1,4,3,1,1,NA
Airline,Tiger Airways,Other,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Tiger Airways,"Ticketing, Fares & Refunds",17,NA,NA,17,17,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,1,17,16,1,1,NA
Airline,GoAir,Cleanliness,4,NA,NA,4,4,NA,NA,3,1,NA,1,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Airline,GoAir,Maintenance,22,NA,NA,22,22,NA,NA,20,2,1,1,NA,NA,NA,NA,NA,NA,22,20,2,2,NA
Airline,GoAir,Meal,40,NA,NA,40,40,NA,NA,37,3,2,NA,1,NA,NA,NA,NA,1,40,36,4,4,NA
Airline,GoAir,Person With Disability,21,NA,NA,19,19,NA,NA,19,2,2,NA,NA,NA,NA,NA,NA,NA,21,19,2,2,NA
Airline,Gulf Air,Baggage,17,NA,NA,13,13,NA,NA,16,1,1,NA,NA,NA,NA,NA,NA,2,17,16,1,1,NA
Airline,Gulf Air,Check-in & Boarding,5,NA,NA,5,5,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,5,3,2,2,NA
Airline,Gulf Air,Check-in &amp; Boarding,6,NA,NA,1,1,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,2,6,5,1,1,NA
Airline,Gulf Air,Flight Delays,4,NA,NA,2,2,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,4,3,1,1,NA
Airline,Gulf Air,Other,4,NA,NA,3,3,NA,NA,3,1,1,NA,NA,NA,NA,1,NA,NA,4,3,1,1,NA
Airline,British Airways,Baggage,21,NA,1,19,19,NA,NA,19,1,1,NA,NA,NA,NA,NA,NA,NA,21,20,1,1,NA
Airline,British Airways,Check-in & Boarding,20,NA,NA,18,18,NA,NA,18,2,1,NA,1,NA,NA,NA,NA,NA,20,18,2,2,NA
Airline,British Airways,Flight Delays,7,NA,NA,3,3,NA,NA,6,1,NA,1,NA,NA,NA,NA,NA,NA,7,6,1,1,NA
Airline,British Airways,Person With Disability,4,NA,1,NA,NA,NA,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2,2,NA
Airline,Air China,Baggage,6,NA,NA,6,6,NA,NA,6,NA,NA,NA,NA,NA,NA,1,NA,2,6,5,1,1,NA
Airline,Air China,Meal,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Air China,Staff / Crew Behavior,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Air India,NA,102,NA,NA,102,102,NA,NA,102,NA,NA,NA,NA,NA,NA,100,NA,78,102,100,2,2,NA
Airline,Lufthansa,Check-in &amp; Boarding,18,NA,NA,9,9,NA,NA,16,2,NA,1,1,NA,NA,NA,NA,NA,18,16,2,2,NA
Airline,Lufthansa,Flight Delays,13,NA,NA,11,11,NA,NA,12,1,1,NA,NA,NA,NA,NA,NA,NA,13,12,1,1,NA
Airline,Lufthansa,Other,19,NA,NA,18,18,NA,NA,15,4,3,NA,NA,1,NA,NA,NA,NA,19,15,4,4,NA
Airline,Lufthansa,"Ticketing, Fares &amp; Refunds",74,NA,NA,67,67,NA,NA,72,2,2,NA,NA,NA,NA,NA,NA,NA,74,72,2,2,NA
Airline,Etihad Airways,Baggage,44,3,NA,38,38,NA,NA,40,1,1,NA,NA,NA,NA,NA,NA,3,44,40,4,4,NA
Airline,Etihad Airways,Check-in & Boarding,31,NA,NA,29,29,NA,NA,30,1,NA,NA,NA,NA,1,NA,NA,1,31,29,2,2,NA
Airline,Etihad Airways,Flight Delays,22,NA,NA,15,15,NA,NA,19,3,2,1,NA,NA,NA,NA,NA,1,22,18,4,4,NA
Airline,Etihad Airways,Meal,6,NA,NA,4,4,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,6,5,1,1,NA
Airline,Etihad Airways,Other,17,NA,NA,14,14,NA,NA,14,3,2,NA,1,NA,NA,2,NA,1,17,14,3,3,NA
Airline,Etihad Airways,Staff / Crew Behavior,5,NA,NA,4,4,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,1,5,4,1,1,NA
Airline,Etihad Airways,"Ticketing, Fares &amp; Refunds",66,NA,NA,46,46,NA,NA,64,2,2,NA,NA,NA,NA,NA,NA,NA,66,64,2,2,NA
Airline,Air Pegasus,Check-in & Boarding,2,NA,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,2,NA,2,2,NA
Airline,Air Pegasus,Meal,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA
Airline,Air Pegasus,"Ticketing, Fares & Refunds",71,NA,NA,71,71,NA,NA,71,NA,NA,NA,NA,NA,NA,NA,NA,63,71,8,63,63,NA
Airline,Silk Air,"Ticketing, Fares & Refunds",2,NA,NA,2,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,2,1,1,1,NA
Airline,AirAsia India,Maintenance,8,NA,NA,8,8,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,8,7,1,1,NA
Airline,AirAsia India,Meal,43,NA,NA,43,43,NA,NA,36,7,6,NA,NA,1,NA,NA,NA,3,43,36,7,7,NA
Airline,Air France,Check-in & Boarding,12,NA,NA,11,11,NA,NA,10,2,2,NA,NA,NA,NA,NA,NA,NA,12,10,2,2,NA
Airline,Air France,Other,8,NA,NA,7,7,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,2,8,6,2,2,NA
Airline,Air France,"Ticketing, Fares & Refunds",33,NA,NA,33,33,NA,NA,29,4,4,NA,NA,NA,NA,NA,NA,NA,33,29,4,4,NA
Airline,Thai Air Asia,"Ticketing, Fares & Refunds",14,NA,NA,14,14,NA,NA,13,1,1,NA,NA,NA,NA,NA,NA,NA,14,13,1,1,NA
