category,subcategory,type,totalReceived,activeGrievancesWithoutEscalation,activeGrievancesWithEscalation,closedGrievancesWithoutEscalation,closedGrievancesWithEscalation,successfulTransferIn,successfulTransferOut,grievancesWithoutRatings,grievancesWithRatings,grievancesWithVeryGoodRating,grievancesWithGoodRating,grievancesWithOKRating,grievancesWithBadRating,grievancesWithVeryBadRating,twitterGrievances,facebookGrievances,grievancesAdditionalInfoProvided,grievancesAdditionalInfoNotProvided,grievancesWithoutFeedback,grievancesWithFeedback,grievancesWithFeedbackIssueNotResolved,grievancesWithFeedbackIssueResolved
Airline,AirAsia India,Check-in & Boarding,105,NA,NA,105,105,NA,NA,87,18,16,1,1,NA,NA,NA,NA,NA,105,87,18,17,1
Airline,AirAsia India,Check-in &amp; Boarding,107,NA,NA,105,105,NA,NA,92,15,11,3,NA,NA,1,NA,NA,NA,107,92,15,11,4
Airline,AirAsia India,Flight Delays,591,NA,NA,562,562,NA,1,448,143,129,6,6,1,1,4,NA,7,591,444,147,141,6
Airline,AirAsia India,Other,257,NA,NA,257,257,NA,NA,218,39,33,1,2,1,2,18,NA,19,257,217,40,33,7
Airline,AirAsia India,Person With Disability,6,NA,NA,6,6,NA,NA,5,1,1,NA,NA,NA,NA,NA,NA,NA,6,5,1,NA,1
Airline,AirAsia India,Staff / Crew Behavior,77,NA,NA,77,77,NA,1,64,13,8,1,2,2,NA,2,NA,3,77,63,14,10,4
Airline,AirAsia India,"Ticketing, Fares & Refunds",1227,NA,NA,1227,1227,NA,NA,990,237,174,21,15,13,14,6,NA,13,1227,989,238,222,16
Airline,AirAsia India,"Ticketing, Fares &amp; Refunds",783,NA,NA,783,783,NA,NA,654,129,98,12,7,1,11,NA,NA,2,783,651,132,114,18
Airline,Buddha Air,"Ticketing, Fares & Refunds",1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1
Airline,Jet Airways,Baggage,224,NA,NA,224,224,NA,NA,182,42,37,2,2,1,NA,2,NA,5,224,180,44,39,5
Airline,Jet Airways,Check-in & Boarding,219,NA,NA,219,219,NA,NA,183,36,33,1,1,NA,1,1,NA,1,219,179,40,38,2
Airline,Jet Airways,Flight Delays,600,NA,NA,600,600,NA,NA,521,79,64,6,5,1,3,4,NA,8,600,516,84,74,10
Airline,Jet Airways,Maintenance,36,NA,NA,36,36,NA,NA,30,6,5,1,NA,NA,NA,NA,NA,NA,36,29,7,6,1
Airline,Jet Airways,Meal,49,NA,NA,49,49,NA,NA,40,9,9,NA,NA,NA,NA,NA,NA,NA,49,39,10,9,1
Airline,Jet Airways,Staff / Crew Behavior,71,NA,NA,71,71,NA,NA,60,11,11,NA,NA,NA,NA,3,NA,3,71,58,13,11,2
Airline,Jet Airways,"Ticketing, Fares & Refunds",1860,NA,NA,1860,1860,NA,NA,1636,224,176,21,12,6,9,2,NA,4,1860,1629,231,221,10
Airline,Alliance Air (India),Baggage,23,NA,1,21,21,NA,NA,21,1,1,NA,NA,NA,NA,NA,NA,NA,23,21,2,1,1
Airline,Alliance Air (India),Flight Delays,115,NA,NA,41,41,NA,NA,110,5,2,1,1,1,NA,NA,NA,NA,115,109,6,5,1
Airline,Alliance Air (India),"Ticketing, Fares & Refunds",41,NA,NA,40,40,NA,NA,34,7,3,NA,3,1,NA,NA,NA,2,41,34,7,6,1
Airline,Alliance Air (India),"Ticketing, Fares &amp; Refunds",295,NA,2,267,267,NA,NA,269,24,11,5,4,2,2,NA,NA,8,295,268,27,20,7
Airline,VietJet Air,"Ticketing, Fares &amp; Refunds",197,NA,NA,169,169,NA,NA,175,22,18,1,NA,1,2,NA,NA,2,197,172,25,21,4
Airline,Singapore Airlines,"Ticketing, Fares & Refunds",62,1,NA,60,60,NA,NA,53,8,7,NA,NA,NA,1,NA,NA,NA,62,54,8,7,1
Airline,Turkish Airlines,Baggage,19,NA,NA,19,19,NA,NA,18,1,NA,NA,NA,1,NA,NA,NA,NA,19,18,1,NA,1
Airline,Turkish Airlines,"Ticketing, Fares &amp; Refunds",29,NA,NA,29,29,NA,NA,27,2,1,1,NA,NA,NA,NA,NA,NA,29,27,2,1,1
Airline,Air Arabia,Baggage,11,2,NA,9,9,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,1,NA,1
Airline,Air Arabia,"Ticketing, Fares & Refunds",36,NA,NA,35,35,NA,NA,34,2,NA,NA,NA,1,1,NA,NA,NA,36,34,2,NA,2
Airline,Vistara,Baggage,312,NA,NA,312,312,NA,NA,290,22,21,NA,NA,NA,1,2,NA,3,312,290,22,20,2
Airline,Vistara,Check-in & Boarding,191,1,NA,186,186,NA,NA,150,40,33,2,3,2,NA,1,NA,2,191,150,41,36,5
Airline,Vistara,Check-in &amp; Boarding,189,NA,NA,177,177,NA,NA,162,27,24,1,NA,NA,2,NA,NA,1,189,159,30,25,5
Airline,Vistara,Flight Delays,198,NA,NA,171,171,NA,NA,174,24,17,3,1,1,2,NA,NA,2,198,172,26,24,2
Airline,Vistara,Meal,50,NA,NA,50,50,NA,NA,46,4,4,NA,NA,NA,NA,NA,NA,NA,50,44,6,5,1
Airline,Vistara,Other,277,NA,NA,276,276,NA,NA,241,36,24,7,NA,3,2,3,NA,7,277,239,38,32,6
Airline,Vistara,Person With Disability,30,NA,NA,25,25,NA,NA,26,4,4,NA,NA,NA,NA,NA,NA,1,30,26,4,3,1
Airline,Vistara,Staff / Crew Behavior,97,NA,NA,97,97,NA,NA,79,18,15,NA,1,1,1,NA,NA,NA,97,79,18,15,3
Airline,Vistara,"Ticketing, Fares & Refunds",1146,NA,NA,1145,1145,NA,NA,968,178,143,8,12,5,10,8,NA,15,1146,968,178,163,15
Airline,Vistara,"Ticketing, Fares &amp; Refunds",368,NA,NA,368,368,NA,NA,331,37,28,3,1,3,2,NA,NA,1,368,327,41,31,10
Airline,KLM Airlines,Other,7,NA,NA,6,6,NA,NA,6,1,NA,NA,NA,NA,1,NA,NA,NA,7,6,1,NA,1
Airline,Thai Airways,"Ticketing, Fares & Refunds",110,NA,NA,105,105,NA,NA,103,7,5,1,NA,NA,1,1,NA,8,110,98,12,11,1
Airline,Thai Airways,"Ticketing, Fares &amp; Refunds",66,NA,NA,59,59,NA,NA,63,3,NA,NA,NA,NA,3,NA,NA,1,66,63,3,NA,3
Airline,Malaysia Airlines,"Ticketing, Fares & Refunds",69,NA,NA,67,67,NA,NA,53,16,13,NA,2,NA,1,NA,NA,3,69,53,16,15,1
Airline,IndiGo,Baggage,1465,NA,NA,1462,1462,NA,NA,1274,191,166,13,5,2,5,12,NA,20,1465,1263,202,184,18
Airline,IndiGo,Check-in & Boarding,1042,NA,NA,1037,1037,NA,1,872,170,143,10,11,2,4,5,NA,14,1042,865,177,164,13
Airline,IndiGo,Check-in &amp; Boarding,726,NA,1,695,695,NA,NA,627,98,86,4,5,3,NA,NA,NA,3,726,623,103,90,13
Airline,IndiGo,Cleanliness,64,NA,NA,56,56,NA,NA,51,13,11,1,1,NA,NA,NA,NA,3,64,50,14,11,3
Airline,IndiGo,Flight Delays,1837,NA,NA,1763,1763,NA,NA,1581,256,206,21,14,9,6,7,NA,14,1837,1568,269,235,34
Airline,IndiGo,Meal,272,NA,NA,272,272,NA,NA,225,47,34,2,7,2,2,NA,NA,3,272,223,49,35,14
Airline,IndiGo,Other,970,NA,NA,968,968,NA,NA,860,110,77,14,8,4,7,25,NA,37,970,852,118,99,19
Airline,IndiGo,Person With Disability,74,NA,NA,67,67,NA,NA,70,4,3,NA,NA,1,NA,NA,NA,NA,74,69,5,4,1
Airline,IndiGo,Staff / Crew Behavior,526,1,NA,524,524,NA,NA,453,72,59,2,6,4,1,1,NA,5,526,451,75,62,13
Airline,IndiGo,"Ticketing, Fares & Refunds",3792,NA,NA,3791,3791,NA,NA,3275,517,393,45,18,18,43,27,NA,36,3792,3257,535,479,56
Airline,IndiGo,"Ticketing, Fares &amp; Refunds",647,NA,NA,647,647,NA,NA,591,56,52,1,2,NA,1,NA,NA,7,647,584,63,55,8
Airline,Saudia,"Ticketing, Fares &amp; Refunds",26,NA,NA,25,25,NA,NA,23,3,NA,1,1,NA,1,NA,NA,NA,26,23,3,2,1
Airline,Air Mauritius,"Ticketing, Fares &amp; Refunds",16,NA,NA,13,13,NA,NA,14,2,NA,NA,NA,1,1,NA,NA,NA,16,14,2,1,1
Airline,Srilankan Airways,"Ticketing, Fares & Refunds",70,NA,NA,68,68,NA,NA,64,6,2,2,1,1,NA,NA,NA,15,70,64,6,5,1
Airline,Srilankan Airways,"Ticketing, Fares &amp; Refunds",20,NA,NA,14,14,NA,NA,19,1,NA,NA,NA,1,NA,NA,NA,4,20,19,1,NA,1
Airline,Finn Air,"Ticketing, Fares & Refunds",5,NA,NA,5,5,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,1
Airline,TruJet,Other,48,NA,NA,46,46,NA,NA,39,9,8,1,NA,NA,NA,1,NA,5,48,34,14,13,1
Airline,Akasa Air,Baggage,28,NA,NA,26,26,NA,NA,25,3,3,NA,NA,NA,NA,NA,NA,NA,28,25,3,2,1
Airline,Akasa Air,Check-in &amp; Boarding,55,NA,NA,33,33,NA,NA,53,2,2,NA,NA,NA,NA,NA,NA,NA,55,52,3,2,1
Airline,Akasa Air,Flight Delays,51,NA,1,12,12,NA,NA,47,3,1,1,1,NA,NA,NA,NA,NA,51,48,3,2,1
Airline,Akasa Air,Other,55,NA,NA,55,55,NA,NA,51,4,1,3,NA,NA,NA,NA,NA,NA,55,51,4,3,1
Airline,Akasa Air,"Ticketing, Fares &amp; Refunds",208,NA,1,206,206,NA,NA,193,14,10,NA,NA,NA,4,NA,NA,NA,208,190,18,12,6
Airline,Japan Airlines,"Ticketing, Fares &amp; Refunds",8,NA,NA,8,8,NA,NA,7,1,NA,NA,NA,NA,1,NA,NA,NA,8,7,1,NA,1
Airline,Malindo Airways,Baggage,36,NA,NA,33,33,NA,NA,29,7,5,1,NA,1,NA,NA,NA,NA,36,29,7,6,1
Airline,Malindo Airways,"Ticketing, Fares & Refunds",84,NA,NA,84,84,NA,NA,69,15,10,NA,3,1,1,1,NA,1,84,69,15,12,3
Airline,Bhutan Airlines,"Ticketing, Fares & Refunds",4,NA,NA,3,3,NA,NA,3,1,NA,NA,NA,1,NA,1,NA,1,4,3,1,NA,1
Airline,SpiceJet,Baggage,728,NA,NA,725,725,NA,NA,586,142,114,13,6,1,8,3,NA,6,728,584,144,128,16
Airline,SpiceJet,Check-in & Boarding,430,NA,NA,426,426,NA,NA,335,95,82,3,5,2,3,1,NA,5,430,329,101,95,6
Airline,SpiceJet,Check-in &amp; Boarding,240,NA,NA,238,238,NA,NA,209,31,27,2,1,1,NA,NA,NA,NA,240,205,35,28,7
Airline,SpiceJet,Flight Delays,2247,NA,NA,2225,2225,NA,NA,1930,317,237,33,26,13,8,8,NA,11,2247,1919,328,300,28
Airline,SpiceJet,Maintenance,114,NA,NA,114,114,NA,NA,100,14,9,1,3,1,NA,1,NA,1,114,100,14,12,2
Airline,SpiceJet,Meal,83,NA,NA,83,83,NA,NA,67,16,12,3,NA,NA,1,NA,NA,2,83,67,16,14,2
Airline,SpiceJet,Other,777,NA,NA,775,775,1,NA,676,101,84,4,6,1,6,11,NA,12,777,672,105,93,12
Airline,SpiceJet,Staff / Crew Behavior,208,NA,NA,208,208,NA,NA,179,29,24,1,3,1,NA,3,NA,4,208,178,30,27,3
Airline,SpiceJet,"Ticketing, Fares & Refunds",3156,NA,NA,3146,3146,NA,1,2615,541,429,45,20,8,39,16,2,23,3156,2610,546,515,31
Airline,SpiceJet,"Ticketing, Fares &amp; Refunds",1801,NA,NA,1796,1796,NA,NA,1561,240,191,22,9,5,13,3,NA,7,1801,1545,256,227,29
Airline,Swiss Air,"Ticketing, Fares & Refunds",18,NA,NA,18,18,NA,NA,16,2,NA,NA,NA,2,NA,1,NA,2,18,15,3,2,1
Airline,Swiss Air,"Ticketing, Fares &amp; Refunds",23,NA,NA,18,18,NA,NA,21,2,2,NA,NA,NA,NA,NA,NA,NA,23,21,2,1,1
DGCA,DGCA,Air Worthiness,50,NA,NA,50,50,NA,NA,44,6,4,NA,1,1,NA,NA,NA,NA,50,44,6,5,1
DGCA,DGCA,License,17,NA,NA,17,17,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,14,3,NA,3
DGCA,DGCA,Other,1170,1,NA,1169,1169,NA,NA,1024,145,108,15,9,6,7,22,NA,43,1170,1006,164,150,14
DGCA,DGCA,Permits & Permissions,139,NA,NA,139,139,NA,NA,127,12,8,1,2,1,NA,NA,NA,3,139,119,20,14,6
DGCA,DGCA,Permits &amp; Permissions,15,NA,NA,15,15,NA,NA,14,1,1,NA,NA,NA,NA,NA,NA,1,15,14,1,NA,1
Customs,Bhopal,Other,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1
Customs,Madurai,Arrival,5,NA,NA,5,5,NA,NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,5,2,3,1,2
Customs,Surat,Other,8,NA,NA,8,8,NA,NA,7,1,1,NA,NA,NA,NA,NA,NA,NA,8,6,2,NA,2
Immigration,Mumbai,Departure,35,NA,NA,35,35,NA,NA,25,10,8,NA,2,NA,NA,NA,NA,NA,35,25,10,9,1
Immigration,Kolkata,Departure,4,NA,NA,4,4,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,4,2,2,1,1
Immigration,Delhi,Departure,56,NA,NA,56,56,NA,NA,53,3,2,NA,NA,1,NA,NA,NA,NA,56,53,3,2,1
Immigration,Chennai,Other,2,NA,NA,2,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,1
Immigration,Bhopal,Other,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,1
BCAS,BCAS,Security Clearances,30,NA,NA,30,30,NA,NA,27,3,2,NA,NA,1,NA,NA,NA,2,30,25,5,3,2
Airport,NA,Other,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Hyderabad,Air Conditioning / Maintenance,8,NA,NA,8,8,NA,NA,4,4,3,NA,1,NA,NA,NA,NA,NA,8,4,4,2,2
Airport,Hyderabad,Baggage / Lost &amp; Found ,36,NA,NA,25,25,NA,NA,35,1,1,NA,NA,NA,NA,NA,NA,NA,36,33,3,1,2
Airport,Hyderabad,Cleanliness / Hygiene,11,NA,NA,8,8,NA,NA,10,1,1,NA,NA,NA,NA,1,NA,NA,11,9,2,1,1
Airport,Hyderabad,Other,72,NA,NA,72,72,NA,1,62,10,5,2,1,1,1,2,NA,2,72,58,14,11,3
Airport,Thiruvananthapuram,Baggage / Lost &amp; Found ,11,NA,NA,11,11,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,10,1,NA,1
Airport,Thiruvananthapuram,Other,14,NA,NA,14,14,NA,NA,12,2,NA,1,NA,NA,1,NA,NA,2,14,9,5,4,1
Airport,Thiruvananthapuram,Retail Shops / Food &amp; Beverage,10,NA,NA,10,10,NA,NA,7,3,1,NA,NA,NA,2,NA,NA,1,10,6,4,3,1
Airport,Delhi,Baggage / Lost & Found ,149,NA,NA,143,143,NA,NA,134,15,12,NA,2,NA,1,NA,NA,2,149,132,17,16,1
Airport,Delhi,Baggage / Lost &amp; Found ,56,NA,NA,28,28,NA,NA,51,5,2,1,NA,2,NA,NA,NA,NA,56,51,5,3,2
Airport,Delhi,Cleanliness / Hygiene,25,NA,NA,22,22,NA,NA,20,5,2,NA,NA,NA,3,NA,NA,1,25,18,7,4,3
Airport,Delhi,Other,216,NA,NA,215,215,NA,1,200,16,11,2,1,NA,2,5,NA,14,216,194,22,18,4
Airport,Delhi,Retail Shops / Food & Beverage,43,NA,NA,43,43,NA,NA,34,9,5,2,1,NA,1,NA,NA,1,43,33,10,8,2
Airport,Delhi,Retail Shops / Food &amp; Beverage,10,NA,NA,10,10,NA,NA,9,1,NA,NA,NA,NA,1,NA,NA,NA,10,9,1,NA,1
Airport,Delhi,Taxi / Parking,43,NA,NA,41,41,NA,NA,39,4,2,1,1,NA,NA,1,NA,3,43,37,6,5,1
Airport,Delhi,Trolly / Ameniites / Buggy / Wifi,38,NA,NA,37,37,NA,NA,35,3,3,NA,NA,NA,NA,NA,NA,2,38,34,4,2,2
Airport,Varanasi,Cleanliness / Hygiene,10,NA,NA,10,10,NA,NA,6,4,3,NA,1,NA,NA,1,NA,1,10,6,4,3,1
Airport,Varanasi,Retail Shops / Food & Beverage,4,NA,NA,4,4,NA,NA,2,2,2,NA,NA,NA,NA,NA,NA,NA,4,NA,4,2,2
Airport,Varanasi,Taxi / Parking,21,NA,NA,21,21,NA,NA,16,5,4,NA,1,NA,NA,NA,NA,NA,21,15,6,5,1
Airport,Bhubaneswar,Other,23,NA,NA,23,23,NA,NA,20,3,NA,NA,NA,3,NA,NA,NA,NA,23,20,3,NA,3
Airport,Malda,Cleanliness / Hygiene,5,NA,NA,2,2,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,4,1,NA,1
Airport,Malda,Other,16,NA,1,12,12,NA,NA,12,3,1,NA,1,NA,1,NA,NA,4,16,11,5,NA,5
Airport,Malda,Retail Shops / Food & Beverage,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Malda,Seating / Waiting Area,6,NA,NA,4,4,NA,NA,4,2,NA,NA,1,NA,1,NA,NA,3,6,4,2,NA,2
Airport,Malda,Staff / Crew behavoiur,1,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Malda,Taxi / Parking,6,NA,1,4,4,NA,NA,3,2,NA,NA,1,1,NA,NA,NA,1,6,3,3,NA,3
Airport,Calicut,Cleanliness / Hygiene,7,NA,NA,7,7,NA,NA,6,1,NA,NA,NA,NA,1,NA,NA,NA,7,6,1,NA,1
Airport,Calicut,Other,20,NA,NA,20,20,NA,NA,17,3,NA,NA,1,1,1,NA,NA,NA,20,16,4,1,3
Airport,Nagpur,Retail Shops / Food & Beverage,8,NA,NA,8,8,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,7,1,NA,1
Airport,Nagpur,Trolly / Ameniites / Buggy / Wifi,4,NA,NA,4,4,NA,NA,3,1,1,NA,NA,NA,NA,NA,NA,NA,4,2,2,NA,2
Airport,Aurangabad,Baggage / Lost &amp; Found ,2,NA,NA,2,2,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,2,1,1,NA,1
Airport,Madurai,Person With Disability,1,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,1
Airport,Rajkot,Seating / Waiting Area,4,NA,NA,4,4,NA,NA,3,1,NA,NA,NA,NA,1,NA,NA,NA,4,3,1,NA,1
Airport,Rajkot,Taxi / Parking,4,NA,NA,4,4,NA,NA,3,1,NA,NA,NA,1,NA,NA,NA,NA,4,3,1,NA,1
Airport,Lucknow,Cleanliness / Hygiene,33,NA,NA,33,33,NA,NA,31,2,1,NA,NA,1,NA,NA,NA,NA,33,28,5,2,3
Airport,Lucknow,Other,27,NA,NA,27,27,NA,NA,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,26,1,NA,1
Airport,Lucknow,Retail Shops / Food & Beverage,20,NA,NA,20,20,NA,NA,13,7,4,2,NA,NA,1,NA,NA,1,20,12,8,5,3
Airport,Lucknow,Seating / Waiting Area,25,NA,NA,25,25,NA,NA,24,1,NA,NA,1,NA,NA,NA,NA,2,25,20,5,3,2
